"state","si"
Москва,3.377777777777778
Санкт-Петербург,3.127777777777778
Алтайский край,2.8652777777777776
Амурская область,2.2796296296296292
Архангельская область,3.2388888888888894
Астраханская область,3.3
Белгородская область,2.833333333333334
Брянская область,3.250000000000001
Владимирская область,3.2311111111111113
Волгоградская область,2.95
Вологодская область,3.252777777777778
Воронежская область,3.0999999999999988
Еврейская автономная область,2.7444444444444454
Забайкальский край,3.144444444444444
Ивановская область,3.14074074074074
Иркутская область,2.9203703703703714
Кабардино-Балкарская Республика,2.994444444444445
Калининградская область,3.172222222222222
Калужская область,2.980555555555556
Камчатский край,2.7722222222222217
Карачаево-Черкесская Республика,2.7333333333333325
Кемеровская область (Кузбасс),2.612345679012345
Кировская область,3.122222222222223
Костромская область,3.2277777777777774
Краснодарский край,3.2244444444444436
Красноярский край,3.0319444444444463
Курганская область,2.861111111111112
Курская область,3.1888888888888887
Липецкая область,3.1944444444444446
Магаданская область,2.4111111111111105
Московская область,3.3272609819121466
Мурманская область,3.6111111111111125
Нижегородская область,3.0791666666666653
Новгородская область,3.0444444444444447
Новосибирская область,2.725925925925925
Омская область,3.155555555555556
Оренбургская область,3.179166666666667
Орловская область,2.9722222222222228
Пензенская область,3.3018518518518514
Пермский край,3.4380952380952374
Приморский край,2.4933333333333354
Псковская область,3.033333333333334
Республика Адыгея,3.316666666666666
Республика Алтай,2.1277777777777778
Республика Башкортостан,3.3287037037037046
Республика Бурятия,3.3222222222222215
Республика Дагестан,3.1083333333333334
Республика Ингушетия,2.716666666666667
Республика Калмыкия,3.377777777777778
Республика Карелия,3.438888888888889
Республика Коми,3.5759259259259264
Республика Крым,3.5555555555555545
Республика Марий Эл,3.0972222222222228
Республика Мордовия,3.005555555555556
Республика Саха (Якутия),3.1888888888888887
Республика Северная Осетия — Алания,2.933333333333333
Республика Татарстан,3.2938271604938287
Республика Тыва,2.2055555555555557
Республика Хакасия,2.7
Ростовская область,3.1712121212121205
Рязанская область,2.9388888888888887
Самарская область,2.996296296296296
Ленинградская область,3.1916666666666655
Саратовская область,3.1111111111111116
Сахалинская область,2.488888888888889
Свердловская область,3.034259259259258
Смоленская область,2.9425925925925926
Ставропольский край,3.050617283950618
Тамбовская область,2.9499999999999997
Тверская область,2.9222222222222216
Томская область,2.9166666666666674
Тульская область,3.0092592592592577
Тюменская область,3.1240740740740756
Удмуртская Республика,3.0569444444444454
Ульяновская область,3.033333333333333
Хабаровский край,2.683333333333333
Ханты-Мансийский автономный округ - Югра,3.025000000000001
Челябинская область,3.166666666666666
Чеченская Республика,3.4847222222222225
Чувашская Республика,3.147222222222221
Ямало-Ненецкий автономный округ,3.25
Ярославская область,3.094444444444444
