"date","state","si"
2020-02-23,Ямало-Ненецкий автономный округ,3.05
2020-02-23,Брянская область,2.75
2020-02-23,Челябинская область,2.8125
2020-02-23,Забайкальский край,3.15
2020-02-23,Ульяновская область,2.8499999999999996
2020-02-23,Республика Саха (Якутия),3
2020-02-23,Свердловская область,2.75
2020-02-23,Республика Хакасия,2.7
2020-02-23,Самарская область,2.8499999999999996
2020-02-23,Республика Карелия,3
2020-02-23,Тюменская область,2.5666666666666664
2020-02-23,Магаданская область,3.1
2020-02-23,Волгоградская область,2.725
2020-02-23,Республика Марий Эл,2.55
2020-02-23,Рязанская область,2.8
2020-02-23,Республика Татарстан,2.6
2020-02-23,Новосибирская область,2.733333333333333
2020-02-23,Тамбовская область,2.8
2020-02-23,Астраханская область,2.4
2020-02-23,Камчатский край,2.9
2020-02-23,Ханты-Мансийский автономный округ - Югра,2.85
2020-02-23,Ростовская область,2.8727272727272726
2020-02-23,Карачаево-Черкесская Республика,2.3
2020-02-23,Тульская область,2.9499999999999997
2020-02-23,Алтайский край,2.8
2020-02-23,Москва,2.6363636363636362
2020-02-23,Мурманская область,3.3000000000000003
2020-02-23,Кемеровская область (Кузбасс),2.755555555555555
2020-02-23,Саратовская область,2.8
2020-02-23,Кировская область,2.8
2020-02-23,Пензенская область,2.9
2020-02-23,Новгородская область,2.85
2020-02-23,Республика Башкортостан,2.7916666666666665
2020-02-23,Омская область,2.7
2020-02-23,Чувашская Республика,2.75
2020-02-23,Республика Алтай,2.4
2020-02-23,Республика Бурятия,2.6
2020-02-23,Иркутская область,2.8000000000000003
2020-02-23,Архангельская область,3.033333333333333
2020-02-23,Еврейская автономная область,2.7
2020-02-23,Сахалинская область,3.1
2020-02-23,Оренбургская область,2.825
2020-02-23,Республика Тыва,1.9
2020-02-23,Амурская область,2.6
2020-02-23,Калининградская область,2.6
2020-02-23,Смоленская область,2.8000000000000003
2020-02-23,Костромская область,2.9
2020-02-23,Курганская область,2.6
2020-02-23,Ярославская область,2.95
2020-02-23,Чеченская Республика,2.025
2020-02-23,Воронежская область,2.825
2020-02-23,Тверская область,2.85
2020-02-23,Краснодарский край,2.4133333333333336
2020-02-23,Орловская область,2.9
2020-02-23,Республика Ингушетия,1.7
2020-02-23,Республика Калмыкия,2.5
2020-02-23,Удмуртская Республика,2.725
2020-02-23,Хабаровский край,2.85
2020-02-23,Липецкая область,2.9
2020-02-23,Томская область,3.0999999999999996
2020-02-23,Республика Коми,3.1666666666666665
2020-02-23,Нижегородская область,2.675
2020-02-23,Республика Крым,2.9166666666666665
2020-02-23,Пермский край,2.8000000000000003
2020-02-23,Курская область,2.9000000000000004
2020-02-23,Вологодская область,2.8499999999999996
2020-02-23,Псковская область,2.95
2020-02-23,Красноярский край,2.9499999999999997
2020-02-23,Калужская область,2.65
2020-02-23,Приморский край,2.7199999999999998
2020-02-23,Белгородская область,2.8333333333333335
2020-02-23,Республика Дагестан,2.15
2020-02-23,Республика Мордовия,2.7
2020-02-23,Санкт-Петербург и Ленинградская область,2.7
2020-02-23,Республика Северная Осетия — Алания,2.6
2020-02-23,Владимирская область,2.7600000000000002
2020-02-23,Ивановская область,2.733333333333333
