"date","state","positive"
2020-03-02,Московская область,1
2020-03-03,Московская область,1
2020-03-04,Московская область,1
2020-03-05,Московская область,1
2020-03-06,Москва,5
2020-03-06,Московская область,1
2020-03-06,Нижегородская область,1
2020-03-07,Москва,5
2020-03-07,Липецкая область,3
2020-03-07,Нижегородская область,1
2020-03-07,Московская область,1
2020-03-07,Санкт-Петербург,1
2020-03-08,Калининградская область,1
2020-03-08,Липецкая область,3
2020-03-08,Москва,5
2020-03-08,Нижегородская область,1
2020-03-08,Белгородская область,1
2020-03-08,Московская область,2
2020-03-08,Санкт-Петербург,1
2020-03-09,Москва,8
2020-03-09,Липецкая область,3
2020-03-09,Нижегородская область,1
2020-03-09,Калининградская область,1
2020-03-09,Белгородская область,1
2020-03-09,Московская область,2
2020-03-09,Санкт-Петербург,1
2020-03-10,Липецкая область,3
2020-03-10,Нижегородская область,1
2020-03-10,Белгородская область,1
2020-03-10,Московская область,2
2020-03-10,Москва,11
2020-03-10,Санкт-Петербург,1
2020-03-10,Калининградская область,1
2020-03-11,Калининградская область,1
2020-03-11,Московская область,4
2020-03-11,Санкт-Петербург,1
2020-03-11,Липецкая область,3
2020-03-11,Нижегородская область,1
2020-03-11,Москва,17
2020-03-11,Белгородская область,1
2020-03-12,Московская область,4
2020-03-12,Санкт-Петербург,1
2020-03-12,Москва,21
2020-03-12,Краснодарский край,1
2020-03-12,Калининградская область,2
2020-03-12,Липецкая область,3
2020-03-12,Нижегородская область,1
2020-03-12,Белгородская область,1
2020-03-13,Нижегородская область,1
2020-03-13,Белгородская область,1
2020-03-13,Пермский край,1
2020-03-13,Московская область,5
2020-03-13,Санкт-Петербург,4
2020-03-13,Ленинградская область,1
2020-03-13,Краснодарский край,1
2020-03-13,Липецкая область,3
2020-03-13,Калининградская область,2
2020-03-13,Москва,26
2020-03-14,Нижегородская область,1
2020-03-14,Белгородская область,1
2020-03-14,Московская область,6
2020-03-14,Пермский край,1
2020-03-14,Кемеровская область (Кузбасс),2
2020-03-14,Калининградская область,3
2020-03-14,Москва,35
2020-03-14,Ленинградская область,1
2020-03-14,Санкт-Петербург,5
2020-03-14,Липецкая область,3
2020-03-14,Краснодарский край,1
2020-03-15,Ленинградская область,1
2020-03-15,Кемеровская область (Кузбасс),2
2020-03-15,Нижегородская область,1
2020-03-15,Калининградская область,3
2020-03-15,Липецкая область,3
2020-03-15,Белгородская область,1
2020-03-15,Краснодарский край,1
2020-03-15,Санкт-Петербург,5
2020-03-15,Москва,35
2020-03-15,Пермский край,1
2020-03-15,Московская область,9
2020-03-15,Тюменская область,1
2020-03-16,Ленинградская область,1
2020-03-16,Нижегородская область,1
2020-03-16,Москва,53
2020-03-16,Белгородская область,1
2020-03-16,Краснодарский край,1
2020-03-16,Республика Коми,1
2020-03-16,Липецкая область,3
2020-03-16,Кировская область,1
2020-03-16,Санкт-Петербург,8
2020-03-16,Забайкальский край,1
2020-03-16,Кемеровская область (Кузбасс),2
2020-03-16,Пермский край,2
2020-03-16,Тюменская область,2
2020-03-16,Калининградская область,3
2020-03-16,Самарская область,3
2020-03-16,Московская область,10
2020-03-17,Республика Татарстан,1
2020-03-17,Калужская область,1
2020-03-17,Красноярский край,1
2020-03-17,Краснодарский край,1
2020-03-17,Тверская область,2
2020-03-17,Липецкая область,3
2020-03-17,Республика Коми,1
2020-03-17,Свердловская область,1
2020-03-17,Кемеровская область (Кузбасс),2
2020-03-17,Санкт-Петербург,9
2020-03-17,Пензенская область,1
2020-03-17,Кировская область,1
2020-03-17,Нижегородская область,2
2020-03-17,Тамбовская область,1
2020-03-17,Белгородская область,1
2020-03-17,Калининградская область,5
2020-03-17,Самарская область,5
2020-03-17,Архангельская область,1
2020-03-17,Москва,55
2020-03-17,Тюменская область,2
2020-03-17,Московская область,12
2020-03-17,Забайкальский край,1
2020-03-17,Ярославская область,1
2020-03-17,Пермский край,2
2020-03-17,Ленинградская область,1
2020-03-17,Республика Хакасия,1
2020-03-18,Новосибирская область,1
2020-03-18,Республика Татарстан,1
2020-03-18,Калужская область,1
2020-03-18,Красноярский край,1
2020-03-18,Калининградская область,5
2020-03-18,Республика Коми,1
2020-03-18,Москва,86
2020-03-18,Томская область,1
2020-03-18,Липецкая область,3
2020-03-18,Свердловская область,1
2020-03-18,Краснодарский край,1
2020-03-18,Тверская область,2
2020-03-18,Нижегородская область,2
2020-03-18,Пензенская область,1
2020-03-18,Кировская область,1
2020-03-18,Санкт-Петербург,9
2020-03-18,Белгородская область,1
2020-03-18,Тамбовская область,1
2020-03-18,Архангельская область,1
2020-03-18,Московская область,12
2020-03-18,Тюменская область,2
2020-03-18,Самарская область,5
2020-03-18,Республика Хакасия,1
2020-03-18,Ленинградская область,1
2020-03-18,Ярославская область,1
2020-03-18,Кемеровская область (Кузбасс),2
2020-03-18,Пермский край,2
2020-03-18,Забайкальский край,1
2020-03-19,Кировская область,3
2020-03-19,Пензенская область,1
2020-03-19,Санкт-Петербург,10
2020-03-19,Нижегородская область,3
2020-03-19,Мурманская область,1
2020-03-19,Москва,98
2020-03-19,Тульская область,3
2020-03-19,Кемеровская область (Кузбасс),2
2020-03-19,Тамбовская область,3
2020-03-19,Белгородская область,1
2020-03-19,Московская область,17
2020-03-19,Рязанская область,1
2020-03-19,Оренбургская область,1
2020-03-19,Тюменская область,2
2020-03-19,Самарская область,5
2020-03-19,Архангельская область,1
